Abs,Equipment,,,,Legs,,,,,Arms,,,,,Chest,,,,,Shoulders,,,,,Back,,,,Hips/Glutes,,,,Legs + Biceps,,
Plank,,21,60,,Partial-Split Squat,,23,8,,Biceps Curl With Straight Bar,Bar,72,,,Decline barbell bench press,"Bench, bar ",118,,,Barbell shoulder press,Dumbbell/Bar,138,,,Dumbbell Row,Dumbbells,171,50,Hip extension with bent knee,Mat,197,,Lunge + bicep curl,Dumbbells,"Which muscle groups to work out together, from beginner to advanced (medicalnewstoday.com)"
Side Plank,,22,30,,Step-up,,24,,,Bicep curl dumbbells,Dumbbells,72,30,,Decline dumbbell bench press ,"Bench, dumbbells ",119,,,Seated front dumbbell shoulder press,"Bench, dumbbells ",139,30,,One-arm cable row,Cable tower,167,,Clean pull,Bar,198,,,,
High-Thigh Extensions,,23,8,,Squat Press,Dumbbells,,,,Alternating seated biceps curl with band,"Bench, band",73,,,Decline band fly,"Bench, band",120,,,Cable side deltoid raise ,Cable tower,140,,,Alternating grip chin-up,Chin-up bar,168,,Barbell duck squat,Bar,199,,,,
T-Pushup,,24,6,,Lunge Front raise,Dumbbells,,,,Double seated biceps curl with band,"Bench, band",74,,,Dips,Bench,121,,,Dumbbell side deltoid raise,Dumbbells,141,,,Chin-up,Chin-up bar,169,,Two-hand dumbbell clean,Dumbbells,200,,,,
Bicycle Manuever,,38,,,PU jack + Knee jump curl,https://www.facebook.com/reel/765540835213050?s=yWDuG2&fs=e&mibextid=Nif5oz,,,,Alternating standing biceps curl with band,Band,74,,,Flat barbell bench press ,"Bench, bar ",122,,,Incline side deltoid raise,"Bench, band",142,,,One-arm dumbbell row,"Dumbbell, bench",170,,One-arm dumbbell snatch,Dumbbell,202,,,,
Ab Rotation,Cable Tower,37,,,Barbell hack squat,Bar,218,,,Cable curl with straight bar,"Cabe tower, bar",75,,,Flat dumbbell bench press ,"Bench, dumbbells ",122,,,Band side deltoid raise,Cable tower,142,,,One-arm tubing row,Band,172,,Alternating lunge,,203,,,,
Ball Forward Crunch,Ball,37,,,Barbell squat,Bar,220,,,Cable curl with ez bar ,"Cable tower, ez bar",76,,,Flat band fly,"Bench, band",123,,,Barbell upright row,Bar,144,,,Pull-up,Chin-up bar,173,,Lateral lunge,,204,,,,
Cable crunch,Cable tower,39,,,Stepup,Bench/Dumbbells,221,,,Cable concentration curl,"Cable tower, bench",77,,,Incline barbell benchpress,"Bench, bar",124,,,Cable upright row,"Cable tower, t-handle",145,,,Pulldown,Tower,174,,Stationary lunge/Split squat,,205,,,,
Cable curlup,Cable tower,40,,,Bulgarian split squat,Bench/Dumbbells,222,,,Dumbbell Concentration Curl,,78,30,,Incline dumbbell bench press,"Bench, dumbbells ",125,,,Dumbbell upright row,Dumbbells,146,,,Cable pullover,"Tower, bench",175,,Walking lunge,,206,,,,
Cable side bend,Cable tower,40,,,Dumbbell squat,Dumbbell,223,,,Band concentration curl,"Bench, band",78,,,Incline band fly,"Bench, band ",126,,,Seated dumbbell bent laterals ,"Bench, dumbbells ",147,,,Seated row,Tower,176,,Double leg supine hip lift on floor,,206,,,,
